City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
392,Fenoarivo Atsinanana,MG,-17.3667,49.4167,67.26,86,39,7.07,light rain
393,Jining,CN,35.405,116.5814,73.78,98,100,7.36,overcast clouds
394,Pacific Grove,US,36.6177,-121.9166,62.28,94,4,15.01,clear sky
395,Tahta,EG,26.7693,31.5021,95.13,18,4,13.73,clear sky
396,Bolshoy Kamen,RU,43.1225,132.3583,66.09,96,100,4.47,overcast clouds
397,Ostrowiec Swietokrzyski,PL,50.9294,21.3853,89.67,44,64,6.15,broken clouds
398,Buraydah,SA,26.326,43.975,108.05,10,23,11.36,few clouds
399,Viedma,AR,-40.8135,-62.9967,50.63,49,97,4.5,overcast clouds
400,Kurmanayevka,RU,52.5093,52.0675,67.98,69,38,1.9,scattered clouds
401,Mantua,IT,45.1667,10.7833,100.09,15,11,6.87,few clouds
402,Bintulu,MY,3.1667,113.0333,77.41,94,40,3.44,scattered clouds
403,Kununurra,AU,-15.7667,128.7333,55.38,88,56,2.3,broken clouds
404,Kasama,ZM,-10.2129,31.1808,69.6,37,84,7.78,broken clouds
405,Biltine,TD,14.5333,20.9167,73.96,71,82,14.2,moderate rain
406,Imeni Poliny Osipenko,RU,52.4201,136.4853,55.81,92,99,7.16,overcast clouds
407,Poum,NC,-20.2333,164.0167,77.25,90,41,19.39,scattered clouds
408,Bandarbeyla,SO,9.4942,50.8122,77.74,80,97,33.11,overcast clouds
409,Avera,US,33.194,-82.5271,83.71,56,100,7.31,overcast clouds
410,San Policarpo,PH,12.1791,125.5072,80.55,82,89,0.54,overcast clouds
411,Jawhar,SO,2.7809,45.5005,74.23,79,56,16.04,broken clouds
412,Pudozh,RU,61.8099,36.5345,71.85,61,60,5.7,broken clouds
413,Namie,JP,37.4833,141.0,76.71,96,94,4.47,overcast clouds
414,Haines Junction,CA,60.7522,-137.5108,49.73,78,100,6.4,overcast clouds
415,Boende,CD,-0.2167,20.8667,72.52,95,100,2.68,light rain
416,West Bay,KY,19.3667,-81.4167,91.47,75,40,12.66,scattered clouds
417,Kavaratti,IN,10.5669,72.642,81.1,79,100,19.13,overcast clouds
418,Fuxin,CN,42.0156,121.6589,73.76,81,100,0.83,overcast clouds
419,Nyurba,RU,63.2842,118.3319,62.83,79,100,3.78,overcast clouds
420,Abalak,RU,58.1286,68.5944,54.81,95,5,5.44,clear sky
421,Beyneu,KZ,45.3167,55.2,89.44,30,64,18.43,broken clouds
422,Port-Gentil,GA,-0.7193,8.7815,76.96,78,40,12.66,scattered clouds
423,Vihti,FI,60.417,24.3197,83.68,57,7,8.01,clear sky
424,Manacapuru,BR,-3.2997,-60.6206,87.28,58,34,2.82,scattered clouds
425,Hellin,ES,38.5106,-1.701,95.67,21,3,20.69,clear sky
426,Vao,NC,-22.6667,167.4833,74.5,87,91,22.57,overcast clouds
427,Alofi,NU,-19.0595,-169.9187,64.29,100,58,1.14,broken clouds
428,Qaqortoq,GL,60.7167,-46.0333,51.01,72,35,4.52,scattered clouds
429,Jiazi,CN,22.8779,116.067,82.22,84,34,6.17,scattered clouds
430,Itarema,BR,-2.9248,-39.9167,87.33,55,54,15.86,broken clouds
431,Tommot,RU,58.9564,126.2925,65.16,88,76,1.81,broken clouds
432,Xichang,CN,27.8964,102.2634,68.11,94,100,2.75,moderate rain
433,Yeniseysk,RU,58.4497,92.1703,59.36,99,100,4.05,moderate rain
434,Anton Lizardo,MX,19.05,-95.9833,88.21,70,18,2.68,few clouds
435,Osorno,CL,-40.5667,-73.15,44.26,100,100,4.61,mist
436,Dunedin,NZ,-45.8742,170.5036,43.81,75,92,8.01,overcast clouds
437,Kabanjahe,ID,3.1001,98.4908,63.1,95,46,0.78,scattered clouds
438,Balkhash,KZ,46.844,74.9804,81.39,27,16,15.93,few clouds
439,Lavrentiya,RU,65.5833,-171.0,41.7,84,80,12.82,broken clouds
440,Yar-Sale,RU,66.8333,70.8333,45.32,96,100,13.42,light rain
441,Beloha,MG,-25.1667,45.05,65.62,84,3,10.11,clear sky
442,Khandyga,RU,62.6667,135.6,63.64,94,99,2.44,light rain
443,Acapulco,MX,16.8634,-99.8901,85.53,69,87,4.29,overcast clouds
444,Coihueco,CL,-36.6167,-71.8333,57.94,72,0,3.44,clear sky
445,Balikpapan,ID,-1.2675,116.8289,77.99,94,40,4.61,scattered clouds
446,Brae,GB,60.3964,-1.353,53.56,72,100,10.76,overcast clouds
447,Nome,US,64.5011,-165.4064,46.17,98,100,11.99,light rain
448,Halifax,CA,44.6453,-63.5724,81.52,90,85,3.0,overcast clouds
449,Bondo,CD,3.8146,23.6866,70.07,92,98,2.75,overcast clouds
450,Maceio,BR,-9.6658,-35.7353,80.04,73,75,12.66,broken clouds
451,Krasnozerskoye,RU,53.9828,79.2374,57.85,93,28,7.11,scattered clouds
452,Pitimbu,BR,-7.4706,-34.8086,77.59,76,97,16.15,overcast clouds
453,San Cristobal,VE,7.7669,-72.225,83.88,43,100,8.23,overcast clouds
454,Palu,ID,-0.8917,119.8707,76.06,95,94,2.57,moderate rain
455,Acarau,BR,-2.8856,-40.12,87.62,54,46,14.94,scattered clouds
456,Camacha,PT,33.0833,-16.3333,71.02,64,75,17.27,broken clouds
457,Kavieng,PG,-2.5744,150.7967,81.7,78,39,10.31,light rain
458,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,81.66,86,84,0.76,broken clouds
459,Mahibadhoo,MV,3.7833,72.9667,81.61,73,100,18.72,light rain
460,Grand Gaube,MU,-20.0064,57.6608,71.38,71,45,5.01,scattered clouds
461,Hobyo,SO,5.3505,48.5268,76.73,82,71,22.46,broken clouds
462,Palmer,US,42.1584,-72.3287,92.21,47,0,3.0,clear sky
463,Boden,SE,65.8252,21.6886,69.8,42,98,7.4,overcast clouds
464,Sobolevo,RU,54.4299,31.8996,68.41,76,6,3.51,clear sky
465,Durango,MX,24.8333,-104.8333,79.32,36,87,7.76,overcast clouds
466,Piacenza,IT,45.0468,9.6994,98.29,24,41,9.28,scattered clouds
467,Menongue,AO,-14.6585,17.691,67.46,27,33,5.14,scattered clouds
468,Syracuse,IT,37.0881,15.2792,91.31,57,0,7.67,clear sky
469,Silver City,US,32.7701,-108.2803,86.63,38,0,11.5,clear sky
470,Tekeli,KZ,44.83,78.8239,70.05,35,24,7.92,few clouds
471,Myanaung,MM,18.2833,95.3167,75.36,93,100,11.59,overcast clouds
472,Taunggyi,MM,20.7833,97.0333,64.4,96,100,4.65,light rain
473,Christiana,ZA,-27.914,25.1611,61.56,39,72,6.44,broken clouds
474,Ayia Anna,CY,34.9399,33.4843,91.06,76,0,12.66,clear sky
475,Evanston,US,42.0411,-87.6901,89.11,38,2,1.99,clear sky
476,Faya,SA,18.3851,42.4509,73.51,48,34,5.82,scattered clouds
477,Acajutla,SV,13.5928,-89.8275,83.8,69,97,6.17,overcast clouds
478,Sinegorskiy,RU,48.0139,40.8447,61.39,86,73,5.39,broken clouds
