City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
651,Kankan,GN,80.76,light rain,10.3854,-9.3057,Hotel Bate
652,Akyab,MM,81.19,light rain,20.15,92.9,Hotel Memory
653,Ipora,BR,88.61,few clouds,-16.4419,-51.1178,Oásis Motel
656,Rock Sound,BS,82.35,few clouds,24.9,-76.2,Pink Corral Bay Property
657,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
659,Parati,BR,81.73,clear sky,-23.2178,-44.7131,Che Lagarto Paraty
660,Makakilo City,US,76.19,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
661,Iranshahr,IR,95.2,light rain,27.2025,60.6848,نیک سرشت
666,Tautira,PF,75.58,light rain,-17.7333,-149.15,Pension Oaoa
668,Wamba,NG,77.4,moderate rain,8.9333,8.6,Roma Zee Guest House Annex
671,Rauma,FI,75.24,few clouds,61.1272,21.5113,Kalliohovi Hotel
